序号,单元,单元名称,小标题,习题,来源,习题描述,答案,答案验证,题型,知识点1,知识点2,考点,日期,流程,备注,
,第三章,函数极限,3.3、函数极限存在的条件,武忠祥206,课本例题,求$lim_{n \to \infty}sin(n\pi)$,0,视频,计算题,计算函数极限,四则运算,计算极限,20210606,,,
,第三章,函数极限,3.3、函数极限存在的条件,武忠祥206,课本例题,求$lim_{n \to \infty}sin(\pi \sqrt{n^2+3n})$,1,视频,计算题,计算函数极限,四则运算,计算极限,20210606,,$-n\pi$；遇到这种根号，优先利用$a^2-b^2=(a+b)(a-b)$先把根号消去,
,第三章,函数极限,3.4、两个重要的极限,例1,课本例题,求$\lim_{x \to \pi}\frac{sinx}{\pi-x}$,1,课本,计算题,计算函数极限,利用已知极限,计算极限,20210530,,最基础,
,第三章,函数极限,3.4、两个重要的极限,例2,课本例题,求$lim_{x \to 0}\frac{1-cosx}{x^2}$,$\frac{1}{2}$,课本,计算题,计算函数极限,利用已知极限,计算极限,20210530,,$1-cosx = 2sin^2(\frac{x}{2})$,
,第三章,函数极限,3.4、两个重要的极限,例3,课本例题,求$\lim_{x \to 0}(1+2x)^{\frac{1}{x}}$,$e^2$,课本,计算题,计算函数极限,利用已知极限,计算极限,20210529,![](C:\Users\lalalala\mathProject\华东数学分析\images\e函数极限的使用.png),最基础,
,第三章,函数极限,3.4、两个重要的极限,例4,课本例题,求$\lim_{x \to 0}(1-x)^{\frac{1}{x}}$,$e^{-1}$,课本,计算题,计算函数极限,利用已知极限,计算极限,20210529,![](C:\Users\lalalala\mathProject\华东数学分析\images\e函数极限的使用.png),最基础,
,第三章,函数极限,3.4、两个重要的极限,例5,课本例题,求$\lim_{n \to \infty}(1+\frac{1}{n}-\frac{1}{n^2})^n$,暂放,课本,计算题,归结原理，迫敛性,,计算极限,20210602,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,例1,课本例题,求$lim_{x \to 0}\frac{arctanx}{sin4x}$,$\frac{1}{4}$,课本,计算题,计算函数极限,等价无穷小代换,计算极限,20210527,,最基础,
,第三章,函数极限,3.5、无穷小量与无穷大量,例2,课本例题,求$\lim_{x \to 0}\frac{tanx-sinx}{sinx^3}$,$\frac{1}{2}$,课本,计算题,计算函数极限,等价无穷小代换,计算极限,20210527,,$tanx -sinx = \frac{sinx}{cosx}(1-cosx)$,
,第三章,函数极限,3.5、无穷小量与无穷大量,例3,课本例题,证明$lim_{x \to 0}\frac{1}{x^2}=+\infty$,任给$G>0$，取$\delta=\frac{1}{\sqrt{G}}$，则当$|x-a|<\delta$时有$|f(x)|>G$,课本,证明题,无穷大量,无穷大量的原理,不考的吧,20210602,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,例4,课本例题,证明：当a>1时，$lim_{x \to \infty}a^x=+\infty$,任给$G>0$，取$\delta=log_a(G)$，则当$|x-a|<\delta$时有$|f(x)|>G$,课本,证明题,无穷大量,无穷大量的原理,不考的吧,20210602,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,例5,课本例题,设f(x)为$x \to x_0$的无穷大量，g(x)在$U^0(x_0)$满足$|g(x)| \geq K >0$，证明$f(x)g(x)$在$x \to x_0$时的无穷大量,$G'=\frac{G}{K}$,课本,证明题,无穷大量,无穷大量的原理,不考的吧,20210602,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,例6,课本例题,暂放,暂放,课本,证明题,渐近线,,,,,,
,第三章,函数极限,3.1、函数极限的概念,1(1),课后习题,按定义证明$lim_{x \to \infty}\frac{6x+5}{x}=6$,任给$\epsilon>0$，取$M=\frac{5}{\epsilon}$，则当$|x|>M$时有$|f(x)-A|=<\epsilon$,课后答案,证明题,证明极限存在,求M,函数极限的$\epsilon-N$,20210602,,,
,第三章,函数极限,3.1、函数极限的概念,1(2),课后习题,按定义证明$lim_{x \to 2}(x^2-6x+10)=2$,暂放,课后答案,证明题,证明极限存在,求M,函数极限的$\epsilon-N$,20210602,,适当缩放的规则是什么？随便缩放的吗？,
,第三章,函数极限,3.1、函数极限的概念,1(3),课后习题,按定义证明$lim_{x \to \infty}\frac{x^2-5}{x^2-1}=2$,"任给$\epsilon>0$，取$M=max(2,\frac{4}{\epsilon})$，则当$|x|>M$时有$|f(x)-A|=<\epsilon$",课后答案,证明题,证明极限存在,求M,函数极限的$\epsilon-N$,20210602,,,
,第三章,函数极限,3.1、函数极限的概念,1(4),课后习题,按定义证明$lim_{x \to 2^-}\sqrt{4-x^2}=0$,暂放,课后答案,证明题,证明极限存在,求M,函数极限的$\epsilon-N$,20210602,,,
,第三章,函数极限,3.1、函数极限的概念,1(5),课后习题,按定义证明$lim_{x \to x_0}cosx=cosx_0$,任给$\epsilon>0$，取$\delta=\epsilon$，则当$|x-a|<\delta$时有$|f(x)-A|=<\epsilon$,课后答案,证明题,证明极限存在,求delta,函数极限的$\epsilon-N$,20210602,,,
,第三章,函数极限,3.1、函数极限的概念,2,课后习题,根据极限的$\epsilon-\delta$定理叙述$lim_{x \to x_0}f(x)\neq A$,"存在一个$\epsilon$,使得对任意$\delta$,当$|x-x_0|<\delta$，存在一个x'使得$|f(x)-A| \leq \epsilon$",课后答案,描述题,极限的描述,描述极限不等于A,不会考的,20210603,,,
,第三章,函数极限,3.1、函数极限的概念,3,课后习题,"设$lim_{x \to x_0}f(x)=A$,证明$lim_{h \to 0}f(x_0+h)=A$","$|h|<\delta$，则$|x_0+h-x_0|<\epsilon$,有$|f(x_0+h)-A|<\epsilon$",课后答案,证明题,证明极限存在,极限定义的应用,不会考的,20210603,,,
,第三章,函数极限,3.1、函数极限的概念,4,课后习题,证明：若$lim_{x \to x_0}f(x)=A$，则$lim_{x \to x_0}|f(x)|=|A|$，当且仅当A为何值时反向也成立？,正向的证明根据定义推一下；逆命题不存在，只有在A为0时成立。,课后答案,证明题,证明极限存在,极限定义的应用,不会考的,20210603,,$||f(x)|-|A||\leq|f(x)-A|$,
,第三章,函数极限,3.1、函数极限的概念,5,课后习题,证明$lim_{x \to x_0}f(x)=A$的充要条件是$lim_{x \to x_0^+}f(x)=lim_{x \to x_0^-}f(x)=A$,"正向重点在x的区域选择上，反向重点为$\delta=min(\delta_1,\delta_2)$",课后答案,证明题,证明极限存在,极限定义的应用,不会考的,20210603,,,
,第三章,函数极限,3.1、函数极限的概念,6(1),课后习题,当$x \to 0$时函数$f(x)=\frac{|x|}{x}$的极限或左右极限,左极限为-1，右极限为1，故函数极限不存在,课后答案,证明题,证明极限存在,左右极限的计算,不会考的,20210603,,,
,第三章,函数极限,3.1、函数极限的概念,6(2),课后习题,当$x \to 0$时函数$f(x)=[x]$的极限或左右极限,左极限为-1，右极限为0，故函数极限不存在,课后答案,证明题,证明极限存在,左右极限的计算,不会考的,20210603,,,
,第三章,函数极限,3.1、函数极限的概念,6(3),课后习题,当$x \to 0$时函数$f(x)=\begin{cases}2^x&x>0\\0&x=0\\1+x^2&x<0\end{cases}$的极限或左右极限,极限为1,课后答案,证明题,证明极限存在,左右极限的计算,不会考的,20210603,,见世面：极限不一定等于该点值,
,第三章,函数极限,3.1、函数极限的概念,7,课后习题,设$lim_{x \to \infty}f(x)=A$，证明$\lim_{x \to 0+}=f(\frac{1}{x})=A$,暂放,课后答案,证明题,证明极限存在,极限定义的应用,不会考的,20210603,,,
,第三章,函数极限,3.1、函数极限的概念,8,课后习题,"证明：对黎曼函数R(x)有$lim_{c \to x_0}R(x)=0, x \in [0,1]$",暂放,课后答案,证明题,证明极限存在,极限定义的应用,不会考的,20210603,,,
,第三章,函数极限,3.2、函数极限的性质,1(1),课后习题,求$\lim_{x \to \frac{\pi}{2}}2(sinx-cosx-x^2)$,$2-\frac{\pi^2}{2}$,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210603,,,
,第三章,函数极限,3.2、函数极限的性质,1(2),课后习题,$\lim_{x \to 0}\frac{x^2-1}{2x^2-x-1}$,1,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210603,,,
,第三章,函数极限,3.2、函数极限的性质,1(3),课后习题,$lim_{x \to 1}\frac{x^2-1}{2x^2-x-1}$,$\frac{2}{3}$,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210603,,$2x^2-x-1=(2x+1)(x-1)$,
,第三章,函数极限,3.2、函数极限的性质,1(4),课后习题,$\lim_{x \to 0}\frac{(x-1)^3+(1-3x)}{x^2+2x^3}$,-3,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210603,,$(x-1)^3=x^3-3x^2+3x-1$,
,第三章,函数极限,3.2、函数极限的性质,1(5),课后习题,"$\lim_{x \to 1}\frac{x^n-1}{x^m-1}$,nm为正整数",$\frac{n}{m}$,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210603,,$(x^n-1)=(x^{n-1}+...+1)(x-1)$,
,第三章,函数极限,3.2、函数极限的性质,1(6),课后习题,$lim_{x \to 4}\frac{\sqrt{1+2x}-3}{\sqrt{x}-2}$,$\frac{3}{2}$,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210603,,利用$a^2-b^2=(a+b)(a-b)$先把根号消去,
,第三章,函数极限,3.2、函数极限的性质,1(7),课后习题,"$lim_{x \to 0}\frac{\sqrt{a^2+x}-a}{x},a>0$",$\frac{1}{2a}$,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210605,,遇到这种根号，优先利用$a^2-b^2=(a+b)(a-b)$先把根号消去,
,第三章,函数极限,3.2、函数极限的性质,1(8),课后习题,$lim_{x \to \infty}\frac{(3x+6)^{70}(8x-5)^{20}}{(5x-1)^{90}}$,$\frac{3^{70}8^{20}}{5^{90}}$,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210605,,原来如此,
,第三章,函数极限,3.2、函数极限的性质,2(1),课后习题,利用迫敛性求极限$lim_{x \to -\infty}\frac{x-cosx}{x}$,由$1-\frac{1}{x} \leq f(x) \leq 1+\frac{1}{x}$，左右极限都为1，由迫敛性得函数极限为1,课后答案,计算题,计算函数极限,迫敛性,函数极限的计算,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,2(2),课后习题,利用迫敛性求极限$lim_{x \to +\infty}\frac{xsinx}{x^2-4}$,由$\frac{-x}{x^2-4}\leq f(x) \leq \frac{x}{x^2-4}$，左右极限都为0，由迫敛性得函数极限为0,课后答案,计算题,计算函数极限,迫敛性,函数极限的计算,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,3(1),课后习题,"设$\lim_{x \to x_0}f(x)=A,\lim_{x \to x_0}g(x)=B$，证明$lim_{x \to x_0}[f(x) \pm g(x)]=A \pm B$",根据极限原理推出来,课后答案,证明题,证明四则运算,证明,不会考的,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,3(2),课后习题,"设$\lim_{x \to x_0}f(x)=A,\lim_{x \to x_0}g(x)=B$，证明$lim_{x \to x_0}[f(x)g(x)]=AB$",暂放,课后答案,计算题,计算函数极限,证明,不会考的,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,3(3),课后习题,"设$\lim_{x \to x_0}f(x)=A,\lim_{x \to x_0}g(x)=B$，证明$lim_{x \to x_0}\frac{f(x)}{g(x)}]=\frac{A}{B}$",暂放,课后答案,计算题,计算函数极限,证明,不会考的,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,4,课后习题,"$f(x)=\frac{a_0x^m+a_1x^{m-1}+...+a_{m-1}x+a_m}{b_0x^n+b_1x^{n-1}+...+b_{n-1}x+b_n},a_0 \neq 0,b_0 \neq 0 ,m \leq n$，求$lim_{x \to +\infty}f(x)$",$\begin{cases}\frac{a_0}{b_0} &m=n\\0& m<n\end{cases}$,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,5,课后习题,"设$f(x)>0,lim_{x \to x_0}f(x)=A$，证明$lim_{x \to x_0}\sqrt[x]{f(x)}=\sqrt[x]{A},n \geq 2$",暂放,课后答案,计算题,计算函数极限,证明,函数极限的$\epsilon-delta$,20210605,,"$\sqrt[n]{f(x)}-\sqrt[n]{g(x)}$,变形",
,第三章,函数极限,3.2、函数极限的性质,6,课后习题,"证明$lim_{x \to 0}a^x=1,0<a<1$",自编证明,课后答案,计算题,计算函数极限,证明,函数极限的$\epsilon-delta$,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,7(1),课后习题,"设$\lim_{x \to x_0}f(x)=A,\lim_{x \to x_0}g(x)=B$，若在$U^0(x_0)$上有$f(x)<g(x)$，问是否必由A<B",不一定，极限可以一样的,课后答案,计算题,计算函数极限,证明,函数极限的$\epsilon-delta$,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,7(2),课后习题,"证明：设$\lim_{x \to x_0}f(x)=A,\lim_{x \to x_0}g(x)=B$，若A>B，则在某$U^0(x_0)$上有$f(x)>g(x)$",暂放,课后答案,计算题,计算函数极限,证明,函数极限的$\epsilon-delta$,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,8(1),课后习题,求极限$lim_{x \to 0^-}\frac{|X|}{x}\frac{1}{1+x^n}$,-1,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,8(2),课后习题,求极限$lim_{x \to 0^+}\frac{|X|}{x}\frac{1}{1+x^n}$,1,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,8(3),课后习题,求$lim_{x \to -1}(\frac{1}{x+1}-\frac{3}{x^3+1})$,-1,课后答案,计算题,计算函数极限,四则运算,函数极限的计算,20210605,,没算出来,
,第三章,函数极限,3.2、函数极限的性质,8(4),课后习题,$lim_{x \to 0}\frac{\sqrt[n]{x+1}-1}{x}$,$\frac{1}{n}$,课后答案,计算题,计算函数极限,等价无穷小代换,函数极限的计算,20210605,,"$\sqrt[n]{f(x)}-\sqrt[n]{g(x)}$,变形",
,第三章,函数极限,3.2、函数极限的性质,8(5),课后习题,$lim_{x \to \infty}\frac{[x]}{x}$,1,课后答案,计算题,计算函数极限,迫敛法,函数极限的计算,20210605,,$x-1 < [x] \leq x$,
,第三章,函数极限,3.2、函数极限的性质,9(1),课后习题,证明：若$lim_{x \to 0}f(x^3)$存在，则$lim_{x \to 0}f(x) = lim_{x \to 0}f(x^3)$,暂放,课后答案,计算题,计算函数极限,证明,函数极限的$\epsilon-delta$,20210605,,,
,第三章,函数极限,3.2、函数极限的性质,9(2),课后习题,若$lim_{x \to 0}f(x^2)$存在，则是否成立$lim_{x \to 0}f(x) = lim_{x \to 0}f(x^2)$,暂放,课后答案,计算题,计算函数极限,证明,函数极限的$\epsilon-delta$,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,1,课后习题,叙述函数极限$lim_{x \to \infty}f(x)$的归结原理，并应用其证明$lim_{x \to \infty}cosx$不存在,"取$x'=2n\pi, x''=n\pi + \frac{\pi}{2}$，cosx'=1,cosx''=1,由归结原理可知极限不存在",课后答案,证明题,证明极限存在,归结原理,计算极限,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,2,课后习题,"设f为定义在$[a,\infty)$上的增（减）函数，证明：$lim_{x \to \infty}f(x)$存在的充要条件是f在$[a,\infty)$上有上（下）界",暂放,课后答案,证明题,证明极限原理,极限的上下界,极限的证明,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,3(1),课后习题,叙述极限$lim_{x \to -\infty}f(x)$的柯西准则,暂放,课后答案,证明题,证明极限原理,极限的柯西准则,极限的证明,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,3(2),课后习题,根据柯西准则叙述$lim_{x \to -\infty}f(x)$不存在的充要条件，并应用它证明$lim_{x \to -\infty}sinx$不存在,暂放,课后答案,证明题,证明极限原理,极限的柯西准则,极限的证明,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,4,课后习题,设f在$U^o(x)$内有定义，证明：若对任何数列{$x_n$}$\subset U^o(x)$且$lim_{x \to -\infty}x_n=x_0$，极限$lim_{n \to \infty}f(x_n)$都存在，则所有这些极限都存在。,暂放,课后答案,证明题,证明极限原理,极限的柯西准则,极限的证明,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,5,课后习题,"设f在$U^o(x)$上的递增函数，证明：$f(x_0-0)$和$f(x_0+0)$都存在，且$f(x_0-0)=supf(x),f(x_0+0)=inff(x)$",暂放,课后答案,证明题,证明极限原理,极限的柯西准则,极限的证明,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,6,课后习题,设$D(x)$是狄利克雷函数，$x_0 \in R$，证明：$lim_{x \to x_0}D(x)$不存在,暂放,课后答案,证明题,证明极限原理,极限的柯西准则,极限的证明,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,7,课后习题,证明：若f为周期函数，且$lim_{x \to +\infty}f(x)=0$，则$f(x)==0$,暂放,课后答案,证明题,证明极限原理,极限的柯西准则,极限的证明,20210605,,,
,第三章,函数极限,3.3、函数极限存在的条件,8,课后习题,证明f在$U_+^o(x)$上有定义，$lim_{x \to x_0^+}f(x)=A$的充要条件是：对任何以$x_0$为极限的递减函数$\{x_n\} \subset U_+^o(x_0)$，有$lim_{n \to \infty}f(x_n)=A$,暂放,课后答案,证明题,证明极限原理,极限的柯西准则,极限的证明,20210605,,,
,第三章,函数极限,3.4、两个重要的极限,1(1),课后习题,计算$\lim_{x \to 0^+}\left(\frac{\sin{\left(2 x \right)}}{x}\right)$,2,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,最基础,
,第三章,函数极限,3.4、两个重要的极限,1(2),课后习题,计算$\lim_{x \to 0^+}\left(\frac{\sin{\left(x^{3} \right)}}{\sin^{2}{\left(x \right)}}\right)$,0,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,最基础,
,第三章,函数极限,3.4、两个重要的极限,1(3),课后习题,计算$\lim_{x \to 0}\left(\frac{\cos{\left(x \right)}}{x - \frac{\pi}{2}}\right)$,-1,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,cos(x+pi/2)=-sinx,
,第三章,函数极限,3.4、两个重要的极限,1(4),课后习题,计算$\lim_{x \to 0}\left(\frac{\tan{\left(x \right)}}{x}\right)$,1,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,最基础,
,第三章,函数极限,3.4、两个重要的极限,1(5),课后习题,计算$\lim_{x \to 0^+}\left(\frac{\tan{\left(x \right)}- \sin{\left(x \right)}}{x^{3}}\right)$,$\frac{1}{2}$,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,$tanx -sinx = (1-cos(x)) tan(x)$,
,第三章,函数极限,3.4、两个重要的极限,1(6),课后习题,计算$\lim_{x \to 0^+}\left(\frac{\operatorname{atan}{\left(x \right)}}{x}\right)$,1,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,最基础,
,第三章,函数极限,3.4、两个重要的极限,1(7),课后习题,计算$\lim_{x \to a}\left(\frac{\sin^{2}{\left(x \right)}- \sin^{2}{\left(a \right)}}{- a + x}\right)$,sin2a,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,"$sin(x)-sin(y) =2cos(\frac{x+y}{2})sin(\frac{x-y}{2})$,$2cosxsinx=sin2x$",
,第三章,函数极限,3.4、两个重要的极限,1(8),课后习题,计算$\lim_{x \to 0^+}\left(\frac{\sin{\left(4 x \right)}}{\sqrt{x + 1} - 1}\right)$,8,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,$\sqrt{x + 1} - 1 \sim \frac{1}{2}x$,
,第三章,函数极限,3.4、两个重要的极限,1(9),课后习题,计算$\lim_{x \to 0}\frac{\sqrt{1-cos(x^2)}}{1-cosx}$,$\sqrt{2}$,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,$1-cosx = 2sin^2(\frac{x}{2})$,
,第三章,函数极限,3.4、两个重要的极限,2(1),课后习题,计算$\lim_{x \to \infty} \left(1 - \frac{2}{x}\right)^{- x}$,$e^2$,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,,
,第三章,函数极限,3.4、两个重要的极限,2(2),课后习题,计算$\lim_{x \to \infty} \left(a x + 1\right)^{\frac{1}{x}}$,$e^a$,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,,
,第三章,函数极限,3.4、两个重要的极限,2(3),课后习题,计算$\lim_{x \to \infty} \left(\tan{\left(x \right)} + 1\right)^{\cot{\left(x \right)}}$,e,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,,
,第三章,函数极限,3.4、两个重要的极限,2(4),课后习题,计算$\lim_{x \to \infty} \left(\frac{1+x}{1 - x}\right)^{\frac{1}{x}}$,$e^2$,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,,
,第三章,函数极限,3.4、两个重要的极限,2(5),课后习题,计算$\lim_{x \to \infty} \left(\frac{3 x + 2}{3 x - 1}\right)^{2 x - 1}$,$e^2$,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,,
,第三章,函数极限,3.4、两个重要的极限,2(6),课后习题,计算$\lim_{x \to \infty} \left(\frac{a}{x} + 1\right)^{b x}$,$e^{ab}$,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,,
,第三章,函数极限,3.4、两个重要的极限,3,课后习题,证明：$lim_{x \to 0}\{lim_{n \to \infty}[cosxcos\frac{x}{2}cos\frac{x}{2^2}...cos\frac{x}{2^n}]\}=1$,1,课后答案,计算题,计算函数极限,利用已知极限,,20210529,,$sin2x=2^{n+1}cosxcos\frac{x}{2^2}...cos\frac{x}{2^n}sin\frac{x}{2^n}$,
,第三章,函数极限,3.4、两个重要的极限,4(1),课后习题,利用归结原理计算$lim_{n \to \infty}\sqrt{n}sin\frac{\pi}{n}$,0,课后答案,计算题,计算数列极限,利用已知极限,,20210605,,,
,第三章,函数极限,3.4、两个重要的极限,4(2),课后习题,利用归结原理计算$lim_{n \to \infty}(1+\frac{1}{n}+\frac{1}{n^2})^n$,暂放,课后答案,计算题,计算数列极限,利用已知极限,,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,1(1),课后习题,"证明$2x-x^2=O(x),x \to 0$",2,课后答案,计算题,同阶无穷小量,计算极限,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,1(2),课后习题,"$xsin\sqrt{x}=O(x^{\frac{3}{2}}),x \to 0^+$",1,课后答案,计算题,同阶无穷小量,计算极限,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,1(3),课后习题,"$\sqrt{1+x}-1=o(1), x \to 0$",0,课后答案,计算题,同阶无穷小量,计算极限,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,1(4),课后习题,"$(1+x)^n = 1+nx+o(x), x \to 0$",0,课后答案,计算题,同阶无穷小量,计算极限,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,1(5),课后习题,"$2x^3+x^2=O(x^3),x \to \infty$",2,课后答案,计算题,同阶无穷小量,计算极限,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,1(6),课后习题,"$o(g(x))\pm o(g(x))=o(g(x)),x \to x_0$",0,课后答案,计算题,高阶无穷小量,计算极限,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,1(7),课后习题,"$o(g_1(x))*o(g_2(x))=o(g_1(x)g_2(x)), x \to x_0$",0,课后答案,计算题,高阶无穷小量,计算极限,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,2(1),课后习题,求$\lim_{x \to \infty}\frac{xarctan\frac{1}{x}}{x-cosx}$,0,课后答案,计算题,函数极限的计算,等价无穷小代换,函数极限的计算,20210527,,$\lim_{x \to \infty}\frac{1}{x-cosx}=0$,
,第三章,函数极限,3.5、无穷小量与无穷大量,2(2),课后习题,求$\lim_{x \to 0}\frac{\sqrt{1+x^2}-1}{1-cosx}$,1,https://zhuanlan.zhihu.com/p/36033255,计算题,函数极限的计算,等价无穷小代换,函数极限的计算,20210527,,\sqrt{1+x^2}-1 \sim \frac{1}{2}x^2,
,第三章,函数极限,3.5、无穷小量与无穷大量,3(1),课后习题,设f在$U^o(x)$上有定义且不等于0，若f为x趋于$x_0$无穷小量，则$\frac{1}{f}$为x趋于$x_0$无穷大量,暂放,课后答案,证明题,无穷小量证明,epsilon-delta,极限的证明,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,3(2),课后习题,若g为x趋于$x_0$无穷大量，则$\frac{1}{g}$为x趋于$x_0$无穷小量,暂放,课后答案,证明题,无穷小量证明,epsilon-delta,极限的证明,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,4(1),课后习题,渐近线,暂放,课后答案,计算题,渐近线的计算,,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,4(2),课后习题,渐近线,暂放,课后答案,计算题,渐近线的计算,,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,4(3),课后习题,渐近线,暂放,课后答案,计算题,渐近线的计算,,函数极限的计算,20210605,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,5(1),课后习题,,,课后答案,计算题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,5(2),课后习题,,,课后答案,计算题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,5(3),课后习题,,,课后答案,计算题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,5(4),课后习题,,,课后答案,计算题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,6(1),课后习题,,,课后答案,计算题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,6(2),课后习题,,,课后答案,计算题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,6(3),课后习题,,,课后答案,计算题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,7,课后习题,,,课后答案,证明题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,8,课后习题,,,课后答案,证明题,,,,,,,
,第三章,函数极限,3.5、无穷小量与无穷大量,9,课后习题,,,课后答案,证明题,,,,,,,
,第三章,函数极限,总练习题,1(1),课后习题,$lim_{x \to 3^-}(x-[x])$,1,课后答案,计算题,计算极限,,函数极限的计算,20210606,,$x-1 < [x] \leq x$,
,第三章,函数极限,总练习题,1(2),课后习题,$lim_{x \to 1^+}([x]+x)^{-1}$,$\frac{1}{2}$,课后答案,计算题,计算极限,,函数极限的计算,20210606,,$x-1 < [x] \leq x$,
,第三章,函数极限,总练习题,1(3),课后习题,$lim_{x \to \infty}\sqrt{(a+x)(b+x)}-\sqrt{(a-x)(b-x)}$,a+b,课后答案,计算题,计算极限,,函数极限的计算,20210606,,遇到这种根号，优先利用$a^2-b^2=(a+b)(a-b)$先把根号消去,
,第三章,函数极限,总练习题,1(4),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,1(5),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,1(6),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,1(7),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,2(1),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,2(2),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,2(3),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,3(1),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,3(2),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,4,课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,5,课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,6(1),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,6(2),课后习题,,,课后答案,,,,,,,,
,第三章,函数极限,总练习题,6(3),课后习题,,,课后答案,,,,,,,,
